,R,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,Key,P/B,시작,종지,다음코드,Tempo,Inversion,,,,artist,Ban,Level,Chromatic Scale,Tension,Complexity,,코드 다양,코드 다양(3화음),코드 바뀜,코드 바뀜(3화음 기준),한마디 코드수,한마디 코드수(3화음),AY~BB,EvoM,Alternative,Country,folk,pop,Dance,EDM,Techno,Rock,E-listening,Classic,Ballad,RnB/Soul,Soul,R+S,Funk,Disco,Nu Disco,Hip Hop 1,Hip Hop 2,Boombap,Trap,Jazz,Lofi,K-pop,Trot,Ppong,T+P,Children,,15634,1564,6415,1364,6545,1645,1465,1545,12151,4536,3625,6251,1214,4125,44m1,5415,1451,42151,15471,678,선택안됨,이별,사랑,인생,향수,자연,기타,,,,,,,,,,,,,,,d
Hey Jude Chorus,C,,,,,,,,G_6/3,,,,G/3,,,,Am_7,,,,,,,,Em/3,,,,,,,,D_7/3,,,,D_7/5,,,,D_7,,,,,,,,G,,,,,,,,,,,,,,,,C,,,,,,,,G_6,,,,G,,,,Am_7,,,,,,,,Em,,,,,,,,D_7/3,,,,D_7/5,,,,D_7,,,,,,,,G,,,,,,,,,,,,,,,,C,,,,#REF!,,25.0%,,,Hey Jude Chorus,,,,5%,9%,7%,10,#DIV/0!,8,27,22,#DIV/0!,4,#DIV/0!,o,,,,o,o,,,o,m,,,,,,,,,,#DIV/0!,,,,,,,,0,,Hey Jude Chorus,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Let It Be  Verse,C,,,,,,,,G,,,,,,,,Am,,,,,,,,F_M7,,,,Dm_7,,,,C,,,,,,,,G,,,,,,,,F,,,,C/3,,Dm_7,,C,,,,,,,,C,,,,,,,,G,,,,,,,,Am,,,,,,,,F_M7,,,,Dm_7,,,,C,,,,,,,,G,,,,,,,,F,,,,C/3,,Dm_7,,C,,,,,,,,C,,,,#REF!,,3.1%,,,Let It Be  Verse,,,2,0%,3%,2%,11,#DIV/0!,7,31,31,#DIV/0!,4,#DIV/0!,,,,,o,o,,,o,o,,,,,,,,,,#DIV/0!,,,,,,,,0,,Let It Be  Verse,,o,o,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,,,,,,
Top of The World Verse,C,,,,,,,,G,,,,F,,,,C,,,,,,,,,,,,,,,,Em,,,,,,,,Dm,,,,G_7,,,,C,,,,,,,,,,,,,,,,F,,,,,,,,G_7,,,,,,,,Em,,,,,,,,A_7,,,,,,,,Dm,,,,,,,,Dhdim,,,,,,,,G_s4,,,,,,,,G,,,,,,,,C,,,,#REF!,,0.0%,,,Top of The World Verse,,,3,5%,6%,5%,12,#DIV/0!,8,27,27,#DIV/0!,4,#DIV/0!,o,,,o,o,,,,,o,,,,,,,,,,#DIV/0!,,,,,,,,0,,Top of The World Verse,,,,,,,,,,o,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top of The World Churus,C,,,,,,,,C_s4,,,,,,,,F_(11),,,,,,,,F_s4_(11),,,,F_6_(11),,,,C,,,,,,,,Dm,,,,G_9_s4,,,,C,,,,,,,,,,,,,,,,F,,,,,,,,G,,,,,,,,C,,,,,,,,F,,,,,,,,C,,,,C,,,,Dm,,,,G,,,,C,,,,,,,,,,,,,,,,C,,,,#REF!,,0.0%,,,Top of The World Churus,,,4,3%,4%,3%,13,#DIV/0!,5,26,25,#DIV/0!,4,#DIV/0!,,,,o,o,,,,,o,,,,,,,,,,#DIV/0!,,,,,,,,0,,Top of The World Churus,,,,,,,,,,,,,o,,,,o,,,,,,,,,,,,,,,,,,,,,,,,,
Yuju,C,,,,,,,,,,,,,,,,Bhdim_(6),,,,,,,,E_7,,,,,,,,Am,,,,,,,,,,,,,,,,Gm_7,,,,,,,,C_7,,,,,,,,F,,,,,,,,,,,,,,,,Em,,,,,,,,Am,,,,,,,,Dm_7,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,C,,,,#REF!,,0.0%,,,Yuju,,,4,5%,8%,6%,14,#DIV/0!,10,21,21,#DIV/0!,3,#DIV/0!,o,,,,o,o,,,,o,,o,,,,,,,o,#DIV/0!,,,,,o,,,0,,Yuju,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Shostakovich Waltz Verse,Am_(M7),,,,,,,,,,,,,,,,,,,,,,,,E_b9/5,,,,E_b9,,,,E_b9/5,,,,,,,,E_7/5,,,,,,,,E/5,,,,,,,,Am_(M7),,,,,,,,Am_(M7),,,,,,,,Dm,,,,,,,,G_7,,,,,,,,C,,,,F_M9,,,,E_7_s4,,,,,,,,E_7,,,,,,,,Am_(M7),,,,,,,,,,,,,,,,Am,,,,#REF!,,21.9%,,,Shostakovich Waltz Verse,,,,16%,13%,14%,15,#DIV/0!,8,25,23,#DIV/0!,4,#DIV/0!,o,,,,,o,,,,v,o,,,,,,,,,#DIV/0!,,,v,,,,,0,,Shostakovich Waltz Verse,,,,,,,,,,,o,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shostakovich Waltz Chrus 1,C,,,,,,,,,,,,,,,,G_7/5,,,,,,,,C,,,,,,,,A_b13,,,,A_7,,,,Dm_7,,,,F_6,,,,C,,,,G_7,,,,C,,,,,,,,C,,,,,,,,,,,,,,,,G_7/5,,,,,,,,C,,,,,,,,C,,,,C_7/7,,,,F/3,,,,Fm/3,,,,G_v46,,,,G_7,,,,C,,,,,,,,C,,,,#REF!,,21.9%,,,Shostakovich Waltz Chrus 1,,,,4%,9%,6%,16,#DIV/0!,8,27,24,#DIV/0!,3,#DIV/0!,o,,,,,o,,,,o,o,,,,,,,,,#DIV/0!,,,,,,,,0,,Shostakovich Waltz Chrus 1,,,,,,o,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Je Te Veux Verse,C_2,,,,C,,,,C_M7,,,,C_6,,,,C_M7,,,,C_6,,,,G_7/5,,,,,,,,G_7/5,,,,,,,,G_9/5,,,,,,,,G_7/5,,,,,,,,C,,,,G_6/3,,,,Am_s4,,,,C/5,,,,C_M7,,,,C_6,,,,C_M7,,,,C_6,,,,Dm_7,,,,,,,,G_9,,,,G_7/7,,,,C/3,,,,F#hdim,,,,G_v46,,,,G_7,,,,C,,,,,,,,C,,,,#REF!,,37.5%,,,Je Te Veux Verse,,,3,1%,19%,10%,17,#DIV/0!,8,31,21,#DIV/0!,3,#DIV/0!,,,,,,,,,,o,o,,,,,,,,,#DIV/0!,,,v,,,,,0,,Je Te Veux Verse,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circle of 5th,F,,,,,,,,G_7,,,,,,,,Em,,,,,,,,Am,,,,,,,,Dm_7,,,,,,,,G_7,,,,,,,,C,,,,,,,,Gm_7,,,,C_7,,,,F,,,,,,,,G_7,,,,,,,,Em,,,,,,,,Am,,,,,,,,Dm_7,,,,,,,,G_7,,,,,,,,C_s4,,,,,,,,C,,,,,,,,C,O,,,#REF!,,0.0%,,,Circle of 5th,,,3,1%,10%,6%,18,#DIV/0!,8,31,31,#DIV/0!,3,#DIV/0!,o,,,,o,o,,,o,v,,o,,,,,,,,#DIV/0!,,,,,o,,,0,o,Circle of 5th,,,,,,,,o,,o,o,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Entertainer Verse 1,C,,,,,,,,C_7,,,,,,,,F,,,,,,,,C/3,,,,,,,,G_v46,,,,,,,,G_7,,,,,,,,C,,,,,,,,,,,,G,,,,C,,,,,,,,C_7,,,,,,,,F,,,,,,,,C/3,,,,Cm/3,,,,D_7,,,,,,,,,,,,,,,,G_7,,,,,,,,G_7_s2,,,,G_7,,,,C,,,,#REF!,,12.5%,,,The Entertainer Verse 1,,,,6%,12%,9%,19,#DIV/0!,7,28,27,#DIV/0!,4,#DIV/0!,o,,,,,,,,,o,o,,,,,,,,,#DIV/0!,,,v,,,,,0,,The Entertainer Verse 1,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Entertainer Verse 2,C,,,,C,,,,C_7,,,,,,,,F,,,,,,,,C/3,,,,,,,,G_v46,,,,,,,,G_7,,,,,,,,C,,,,,,,,,,,,G,,,,C,,,,,,,,C_7,,,,,,,,F/3,,,,,,,,Fm/3,,,,,,,,G_v46,,,,,,,,G_7,,,,,,,,C,,,,,,,,,,,,,,,,C,,,,#REF!,,18.8%,,,The Entertainer Verse 2,,,3,4%,10%,7%,20,#DIV/0!,7,27,26,#DIV/0!,3,#DIV/0!,o,,,,,,,,,v,o,,,,,,,,,#DIV/0!,,,,,,,,0,,The Entertainer Verse 2,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Entertainer Chorus 1,C,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,Fm,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C/3,,,,Cm/3,,,,D_v46,,,,,,,,D_7,,,,,,,,G,,,,G_7,,,,G_6,,,,G_7,,,,C,,,,#REF!,,6.3%,,,The Entertainer Chorus 1,,,,4%,6%,5%,21,#DIV/0!,8,17,14,#DIV/0!,3,#DIV/0!,o,,,,,,,,,o,o,,,,,,,,,#DIV/0!,,,,,,,,0,,The Entertainer Chorus 1,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Tail Chorus,Em_7,,,,,,,,,,,,,,,,A_9_s4,,,,,,,,A_7,,,,,,,,Dm_7,,,,,,,,,,,,,,,,G_9,,,,,,,,,,,,G_7/7,,,,Em_7,,,,,,,,,,,,,,,,A_9_s4,,,,,,A_7,,,,,,,,,,Dhdim/5,,,,,,G_(b9),,,,,,,,,,C,,,,,,,,,,,,,,,,C,O,,,#REF!,,7.8%,,,Saint Tail Chorus,,,,11%,22%,17%,22,#DIV/0!,7,18,18,#DIV/0!,2,#DIV/0!,o,,,,,,,,,o,o,,,,,,,,,#DIV/0!,,,v,,,,,0,o,Saint Tail Chorus,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
The Entertainer Chorus 2,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,Fm,,,,,,,,C/3,,,,,,,,C_7,,,,,,,,F,,,,,,,,F#dim,,,,,,,,G_s4,,,,,,,,,,,,,,,,D_7,,,,,,,,G_7,,,,,,,,C,,,,,,,,,,,,G_7/5,,,,C,,,,#REF!,,9.4%,,,The Entertainer Chorus 2,,,,6%,8%,7%,23,#DIV/0!,8,22,22,#DIV/0!,3,#DIV/0!,o,,,,,,,,,o,o,,,,,,,,,#DIV/0!,,,,,,,,0,,The Entertainer Chorus 2,,,,,,,,,,,,,,,o,,o,,,,,,,,,,,,,,,,,,,,,,,,,
The Entertainer Chorus 3,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,Fm,,,,,,,,C/3,,,,,,,,C_7,,,,,,,,F,,,,,,,,F#dim,,,,,,,,G_s4,,,,,,,,,,,,,,,,D_7,,,,,,,,G_7,,,,,,,,C,,,,,,,,,,,,,,,,C,,,,#REF!,,6.3%,,,The Entertainer Chorus 3,,,,6%,8%,7%,23,#DIV/0!,6,21,19,#DIV/0!,3,#DIV/0!,o,,,,,,,,,o,o,,,,,,,,,#DIV/0!,,,,,,,,0,,The Entertainer Chorus 3,,,,,,,,,,,,,,,o,,o,,,,,,,,,,,,,,,,,,,,,,,,,
Pathetique 3rd Verse,Am_(M7),,,,,,,,Am_M7_s4,,,,Am_M7_s4,,,,Am_(M7),,,,,,,,,,,,,,,,,,,,,,,,E/3,,,,F_M7,,,,E,,,,,,,,,,,,,,,,G#dim/5,,,,,,,,,,,,,,,,Am_(M7)/3,,,,,,,,F_Gr,,,,,,,,E_v4b6,,,,,,,,E_7,,,,,,,,Am_(M7),,,,,,,,,,,,,,,,Am,,,,#REF!,,21.9%,,,Pathetique 3rd Verse,,X,,19%,11%,15%,24,#DIV/0!,6,20,19,#DIV/0!,3,#DIV/0!,,,,,,,,,,o,o,,,,,,,,,#DIV/0!,,,v,,,,,0,,Pathetique 3rd Verse,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Saint Tail Verse,C,,,,,,,,,,,,,,,,Gm_7,,,,,,,,C_7,,,,,,,,F_M7,,,,,,,,F,,,,,,,,Fm,,,,,,,,Bb_7,,,,,,,,C,,,,,,,,Em,,,,,,,,Dm,,,,,,,,G_v46,,,,G_7,,,,C,,,,,,,,,,,,,,,,Dm,,,,,,,,G,,,,,,,,C,,,,#REF!,,0.0%,,,Saint Tail Verse,,,4,8%,7%,7%,25,#DIV/0!,9,27,26,#DIV/0!,3,#DIV/0!,o,,,,,,,,,o,,,,,,,,,,#DIV/0!,,,,,,,,0,o,Saint Tail Verse,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
Pathetique 2nd Verse,C,,,,,,,,G_7/7,,,,,,,,C/3,,,,,,,,G_7/3,,,,,,,,C,,,,G/3,,,,Am,,,,D_7/5,,,,G,,,,,,,,,,,,,,,,G_7/7,,,,,,,,,,,,,,,,C/3,,,,,,,,A_7,,,,,,,,Dm,,,,,,,,G_7,,,,,,,,C_M7_s4,,,,,,,,C,,,,,,,,C,,,,#REF!,,43.8%,,,Pathetique 2nd Verse,,,3,3%,11%,7%,26,#DIV/0!,9,27,27,#DIV/0!,4,#DIV/0!,,,,,,,,,,o,o,,,,,,,,,#DIV/0!,,,v,,,,,0,,Pathetique 2nd Verse,,,,,,o,,,,,,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let It Go Verse,Am,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,Dm_s4,,,,,,,,Dm,,,,,,,,Am,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,D_s4,,,,,,,,D,,,,,,,,Am,,,,#REF!,,0.0%,,,Let It Go Verse,,,4,3%,3%,3%,27,#DIV/0!,6,19,19,#DIV/0!,2,#DIV/0!,,,,,o,o,,,,o,,,,,,,,,,#DIV/0!,,,,,,,,0,,Let It Go Verse,,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
